alocacao_id,auditor_id,projeto_id,nivel_num,anos_experiencia,n_skills_auditor,n_setores_exp,n_certificacoes,disponibilidade_pct,ingles,espanhol,performance_media,complexidade_num,nivel_min_num,n_skills_requeridas,n_certs_requeridas,duracao_dias,ingles_requerido,nivel_gap,skills_overlap,skills_match_pct,nivel_match,setor_match,cert_match,fit_score,aud_skill_IFRS,req_skill_IFRS,match_skill_IFRS,aud_skill_USGAAP,req_skill_USGAAP,match_skill_USGAAP,aud_skill_BRGAAP,req_skill_BRGAAP,match_skill_BRGAAP,aud_skill_SOX,req_skill_SOX,match_skill_SOX,aud_skill_COSO,req_skill_COSO,match_skill_COSO,aud_skill_CISA,req_skill_CISA,match_skill_CISA,aud_skill_ISO27001,req_skill_ISO27001,match_skill_ISO27001,aud_skill_Auditoria_Financeira,req_skill_Auditoria_Financeira,match_skill_Auditoria_Financeira,aud_skill_Auditoria_Operacional,req_skill_Auditoria_Operacional,match_skill_Auditoria_Operacional,aud_skill_Auditoria_TI,req_skill_Auditoria_TI,match_skill_Auditoria_TI,aud_skill_Auditoria_Fiscal,req_skill_Auditoria_Fiscal,match_skill_Auditoria_Fiscal,aud_skill_Auditoria_Compliance,req_skill_Auditoria_Compliance,match_skill_Auditoria_Compliance,aud_skill_Forensics_Antilavagem,req_skill_Forensics_Antilavagem,match_skill_Forensics_Antilavagem,aud_skill_ESG_Sustentabilidade,req_skill_ESG_Sustentabilidade,match_skill_ESG_Sustentabilidade,aud_skill_Gestao_Riscos,req_skill_Gestao_Riscos,match_skill_Gestao_Riscos,aud_cert_CPA,req_cert_CPA,aud_cert_CIA,req_cert_CIA,aud_cert_CISA,req_cert_CISA,aud_cert_CFE,req_cert_CFE,aud_cert_CRC,req_cert_CRC,aud_cert_ACCA,req_cert_ACCA,aud_cert_CFA,req_cert_CFA
ALOC-00011,AUD-0051,PRJ-0096,4,21,10,1,3,46.7,1,1,4.84,3,3,6,3,74,1,1,2,0.3333,0.95,0.0,0.3333,0.434,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1
ALOC-00012,AUD-0172,PRJ-0197,2,10,7,2,1,9.9,1,0,3.78,3,3,6,3,48,1,-1,3,0.5,0.6,0.0,0.3333,0.4738,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
ALOC-00013,AUD-0180,PRJ-0014,3,14,11,2,4,59.3,1,0,3.8,1,2,4,1,27,0,1,3,0.75,0.95,0.0,0.0,0.5662,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
ALOC-00014,AUD-0049,PRJ-0278,4,20,10,2,3,95.2,1,0,4.72,2,2,6,2,13,1,2,4,0.6667,0.9,0.0,1.0,0.6955,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0
ALOC-00015,AUD-0048,PRJ-0224,1,4,4,2,1,21.3,1,0,3.08,1,2,4,1,10,1,-1,1,0.25,0.6,0.0,0.0,0.2311,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ALOC-00016,AUD-0196,PRJ-0262,1,3,6,3,0,25.9,0,0,3.92,1,1,4,1,18,0,0,1,0.25,1.0,1.0,0.0,0.5373,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALOC-00017,AUD-0157,PRJ-0199,1,4,4,2,1,87.5,1,1,3.28,0,1,2,0,21,0,0,1,0.5,1.0,0.0,1.0,0.6537,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALOC-00018,AUD-0046,PRJ-0038,1,4,4,3,1,50.1,1,1,3.2,0,0,4,0,10,0,1,1,0.25,0.95,0.0,1.0,0.5257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ALOC-00019,AUD-0054,PRJ-0270,1,3,7,1,0,28.3,0,1,3.04,0,1,3,0,11,0,0,1,0.3333,1.0,0.0,1.0,0.4932,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOC-00020,AUD-0028,PRJ-0177,2,7,7,4,2,80.8,0,0,3.29,1,2,4,1,16,0,0,3,0.75,1.0,0.0,0.0,0.6151,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
ALOC-00021,AUD-0169,PRJ-0003,3,14,11,1,2,44.4,1,0,4.68,1,1,4,1,19,0,2,3,0.75,0.9,0.0,1.0,0.6692,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
ALOC-00022,AUD-0060,PRJ-0004,0,1,3,2,1,54.6,0,0,2.3,3,3,7,3,46,1,-3,2,0.2857,0.0,0.0,0.0,0.1363,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
ALOC-00023,AUD-0079,PRJ-0024,4,23,10,1,5,30.9,1,0,4.19,1,2,4,1,15,1,2,2,0.5,0.9,0.0,0.0,0.4426,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0
ALOC-00024,AUD-0132,PRJ-0196,1,4,5,1,1,39.5,0,0,3.48,0,0,3,0,4,0,1,1,0.3333,0.95,0.0,1.0,0.5662,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALOC-00025,AUD-0154,PRJ-0048,1,6,5,2,2,56.1,1,0,4.36,3,4,6,3,86,1,-3,1,0.1667,0.0,0.0,0.3333,0.2473,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
ALOC-00026,AUD-0043,PRJ-0041,3,13,8,2,3,34.6,0,0,4.0,2,3,5,2,37,1,0,5,1.0,1.0,0.0,0.5,0.6459,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
ALOC-00027,AUD-0039,PRJ-0055,0,2,5,1,0,25.2,0,0,3.45,1,2,3,1,12,0,-2,1,0.3333,0.2,0.0,0.0,0.239,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALOC-00028,AUD-0049,PRJ-0148,4,20,10,2,3,95.2,1,0,4.72,2,3,6,2,44,1,1,3,0.5,0.95,0.0,1.0,0.6179,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
ALOC-00029,AUD-0106,PRJ-0216,0,1,5,2,0,40.9,1,0,3.02,2,3,6,2,34,1,-3,3,0.5,0.0,0.0,0.0,0.2368,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALOC-00030,AUD-0167,PRJ-0247,4,21,13,4,3,75.5,1,0,5.0,0,1,3,0,8,0,3,3,1.0,0.85,1.0,1.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
ALOC-00031,AUD-0171,PRJ-0051,1,3,5,3,1,48.5,1,0,2.75,2,2,6,2,21,1,-1,2,0.3333,0.6,0.0,0.0,0.3154,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
ALOC-00032,AUD-0013,PRJ-0289,2,9,9,1,2,71.4,0,1,3.56,1,2,5,1,22,0,0,2,0.4,1.0,0.0,1.0,0.6489,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
ALOC-00033,AUD-0143,PRJ-0166,4,21,12,1,3,37.0,1,1,4.65,0,0,3,0,5,0,4,2,0.6667,0.8,0.0,1.0,0.6512,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
ALOC-00034,AUD-0101,PRJ-0241,1,5,5,2,0,75.5,0,0,2.89,0,0,4,0,10,0,1,2,0.5,0.95,0.0,1.0,0.6685,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOC-00035,AUD-0173,PRJ-0280,0,0,5,1,0,18.0,0,0,2.94,2,3,4,2,43,1,-3,2,0.5,0.0,0.0,0.0,0.2356,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALOC-00036,AUD-0078,PRJ-0136,1,6,7,2,2,91.9,0,1,4.0,1,2,4,1,14,0,-1,2,0.5,0.6,0.0,0.0,0.4404,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
ALOC-00037,AUD-0043,PRJ-0027,3,13,8,2,3,34.6,0,0,4.0,0,1,3,0,10,0,2,2,0.6667,0.9,0.0,1.0,0.6543,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
ALOC-00038,AUD-0069,PRJ-0279,1,6,5,2,2,17.8,1,0,4.06,2,3,6,2,36,1,-2,3,0.5,0.2,1.0,1.0,0.5803,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
ALOC-00039,AUD-0064,PRJ-0190,0,0,2,1,0,71.5,0,0,2.92,1,1,3,1,57,0,-1,0,0.0,0.6,1.0,0.0,0.3708,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALOC-00040,AUD-0067,PRJ-0205,2,9,8,3,3,49.6,0,0,3.73,1,2,4,1,26,0,0,2,0.5,1.0,1.0,0.0,0.5357,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
ALOC-00041,AUD-0121,PRJ-0141,3,14,11,2,2,87.5,0,1,4.37,1,1,4,1,20,0,2,3,0.75,0.9,0.0,0.0,0.6142,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
ALOC-00042,AUD-0022,PRJ-0014,1,4,6,1,0,65.7,0,1,3.74,1,2,4,1,27,0,-1,1,0.25,0.6,0.0,0.0,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALOC-00043,AUD-0185,PRJ-0199,4,22,12,3,3,82.0,1,0,4.84,0,1,2,0,21,0,3,2,1.0,0.85,0.0,1.0,0.8197,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
ALOC-00044,AUD-0074,PRJ-0215,3,15,9,4,3,4.9,1,0,4.89,1,2,4,1,21,0,1,1,0.25,0.95,0.0,1.0,0.5273,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1
ALOC-00045,AUD-0032,PRJ-0118,0,1,4,1,0,7.7,1,0,2.98,0,0,2,0,5,0,0,1,0.5,1.0,0.0,1.0,0.5994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALOC-00046,AUD-0157,PRJ-0110,1,4,4,2,1,87.5,1,1,3.28,3,4,7,3,50,1,-3,3,0.4286,0.0,0.0,0.0,0.2256,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
ALOC-00047,AUD-0006,PRJ-0151,0,0,5,2,0,18.7,1,0,2.27,1,1,4,1,37,1,-1,0,0.0,0.6,0.0,0.0,0.1767,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALOC-00048,AUD-0193,PRJ-0221,3,14,10,3,3,86.4,1,0,3.99,2,3,4,2,35,1,0,2,0.5,1.0,1.0,1.0,0.7562,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
ALOC-00049,AUD-0125,PRJ-0099,1,5,4,1,1,92.3,1,1,3.24,2,3,4,2,43,1,-2,2,0.5,0.2,0.0,0.0,0.369,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
ALOC-00050,AUD-0081,PRJ-0277,1,6,6,2,1,36.3,1,0,3.22,1,1,3,1,21,0,0,0,0.0,1.0,1.0,0.0,0.4288,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ALOC-00051,AUD-0048,PRJ-0261,1,4,4,2,1,21.3,1,0,3.08,1,1,3,1,22,0,0,2,0.6667,1.0,0.0,1.0,0.6726,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ALOC-00052,AUD-0154,PRJ-0204,1,6,5,2,2,56.1,1,0,4.36,0,1,2,0,12,1,0,0,0.0,1.0,1.0,1.0,0.5299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ALOC-00053,AUD-0051,PRJ-0236,4,21,10,1,3,46.7,1,1,4.84,1,2,4,1,21,0,2,2,0.5,0.9,0.0,1.0,0.571,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1
ALOC-00054,AUD-0135,PRJ-0114,3,15,11,3,3,46.3,1,1,4.17,1,1,3,1,30,0,2,2,0.6667,0.9,0.0,0.0,0.5101,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
ALOC-00055,AUD-0197,PRJ-0244,2,8,7,1,1,41.8,1,0,3.72,1,2,4,1,8,0,0,0,0.0,1.0,0.0,1.0,0.3845,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ALOC-00056,AUD-0150,PRJ-0039,1,6,6,3,0,10.8,0,0,3.79,1,1,3,1,10,0,0,1,0.3333,1.0,0.0,0.0,0.4133,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALOC-00057,AUD-0194,PRJ-0280,0,0,5,2,0,41.0,1,1,3.49,2,3,4,2,43,1,-3,2,0.5,0.0,0.0,0.0,0.2852,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALOC-00058,AUD-0052,PRJ-0258,0,0,4,2,0,56.5,1,1,3.57,1,2,3,1,13,1,-2,0,0.0,0.2,1.0,0.0,0.2993,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALOC-00059,AUD-0017,PRJ-0018,0,3,2,2,0,54.7,0,1,2.54,2,2,5,2,64,1,-2,1,0.2,0.2,0.0,0.0,0.1624,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ALOC-00060,AUD-0001,PRJ-0060,2,8,8,4,1,66.8,1,0,3.65,2,2,4,2,19,1,0,2,0.5,1.0,1.0,0.0,0.6619,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
